issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,32,32,30,2,2,2,16,1,88684519
2,32,32,30,4,1,1,16,3,85148183
2,32,32,30,4,2,2,16,1,86168141
2,32,32,30,6,1,2,16,2,83839410
2,32,32,30,6,2,1,32,2,82897638
2,32,32,40,2,1,1,48,3,83129185
2,32,32,40,2,2,2,16,3,84639940
2,32,32,40,2,2,4,16,1,85436144
2,32,32,40,2,2,4,48,2,82759765
2,32,32,40,6,1,1,48,1,84662513
2,32,32,40,6,1,4,48,3,82356482
2,32,32,50,2,1,1,16,2,87832763
2,32,32,50,2,1,1,32,3,86880492
2,32,32,50,4,2,2,48,3,83287819
2,32,32,60,2,2,2,32,2,82982418
2,32,32,60,2,2,4,32,2,82825229
2,32,32,60,4,1,1,16,1,86075213
2,32,32,60,4,1,1,48,1,84357462
2,32,32,60,4,2,1,48,1,84357462
2,32,32,60,6,1,2,48,2,81851705
2,32,32,60,6,2,1,48,1,84357462
2,32,96,0,0,0,0,0,0,102328063
2,32,96,10,4,1,2,48,3,82633320
2,32,96,20,2,1,2,48,2,79949096
2,32,96,20,2,1,4,48,1,83607519
2,32,96,20,2,2,4,32,1,85072604
2,32,96,20,4,2,4,16,1,84861211
2,32,96,20,6,1,1,16,1,85809498
2,32,96,20,6,2,4,32,1,84679231
2,32,96,30,2,1,2,16,3,84863416
2,32,96,30,2,2,1,32,1,87206872
2,32,96,30,2,2,2,32,3,84498495
2,32,96,30,2,2,4,48,1,83821303
2,32,96,30,4,1,2,16,1,86299060
2,32,96,30,4,1,2,48,1,83694585
2,32,96,30,4,1,4,48,1,82459823
2,32,96,30,6,2,1,32,2,82856565
2,32,96,40,2,1,2,32,2,84181841
2,32,96,40,4,2,1,48,2,82289400
2,32,96,40,4,2,2,16,1,86370654
2,32,96,40,6,2,4,48,1,82319552
2,32,96,50,2,1,2,16,2,84662039
2,32,96,50,4,1,2,16,1,85590065
2,32,96,50,6,1,1,48,3,85015626
2,32,96,50,6,1,4,16,1,84685549
2,32,96,60,2,2,2,48,1,82278616
2,32,96,60,4,1,1,16,3,86111759
2,32,96,60,6,2,1,48,3,84878023
2,32,96,60,6,2,2,32,3,83980989
2,64,128,0,0,0,0,0,0,102222894
2,64,128,10,2,1,1,32,1,92687645
2,64,128,10,2,2,1,48,1,92200716
2,64,128,10,2,2,1,32,3,84013570
2,64,128,10,4,2,1,16,3,86217561
2,64,128,10,6,1,2,16,1,92091392
2,64,128,10,6,1,4,48,3,83633155
2,64,128,10,6,2,1,16,1,91859652
2,64,128,20,2,2,4,32,2,81551474
2,64,128,20,4,1,1,16,1,85266338
2,64,128,20,4,1,1,32,3,82217964
2,64,128,20,6,2,2,16,3,83361631
2,64,128,30,2,1,4,32,2,82201027
2,64,128,30,2,2,4,16,3,83387025
2,64,128,30,2,2,4,32,3,82575467
2,64,128,30,4,1,4,48,1,82403632
2,64,128,30,6,1,1,32,1,86296881
2,64,128,40,2,1,2,32,2,82834116
2,64,128,40,2,1,2,32,3,83683984
2,64,128,40,2,1,2,48,3,82604222
2,64,128,40,2,1,4,48,2,81059573
2,64,128,40,2,2,4,16,3,84235622
2,64,128,40,4,1,1,48,2,81361192
2,64,128,40,4,2,2,48,1,82411258
2,64,128,40,4,2,4,16,2,85651735
2,64,128,40,6,2,2,32,3,82935347
2,64,128,50,2,2,4,32,2,82647506
2,64,128,50,4,2,2,32,3,84159575
2,64,128,50,6,1,2,16,2,85699386
2,64,128,50,6,2,2,32,3,84159560
2,64,128,60,2,1,2,48,3,83529879
2,64,128,60,2,2,2,16,1,83403765
2,64,128,60,2,2,4,48,3,83400263
2,64,128,60,4,2,1,16,2,83674034
2,64,128,60,4,2,2,16,2,83222025
