issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,192,128,10,6,2,4,48,2,18888142
2,192,128,20,2,1,2,48,3,19967672
2,192,128,20,2,2,2,32,2,21105911
2,192,128,20,4,1,2,16,2,20076278
2,192,128,20,4,1,4,48,3,16924164
2,192,128,20,4,2,4,32,1,21487783
2,192,128,20,6,2,4,48,2,17825513
2,192,128,30,2,1,1,32,1,21850642
2,192,128,30,2,2,4,32,1,21850345
2,192,128,30,4,2,2,48,1,20643668
2,192,128,30,6,2,1,32,3,16337004
2,192,128,30,6,2,2,16,1,24701124
2,192,128,30,6,2,2,48,1,20643668
2,192,128,40,4,1,1,16,1,23526329
2,192,128,40,4,1,1,16,3,17149571
2,192,128,40,4,2,2,48,2,18362725
2,192,128,40,6,1,1,32,3,16424337
2,192,128,50,4,1,4,32,1,20200526
2,192,128,50,6,1,4,32,3,17298647
2,192,128,50,6,2,2,32,3,17299026
2,192,128,60,2,1,1,32,3,19217303
2,192,128,60,4,1,2,16,2,18500697
2,192,128,60,4,2,2,48,1,20268786
2,192,32,0,0,0,0,0,0,42614590
2,192,32,10,2,1,2,48,3,24583925
2,192,32,10,2,2,4,32,2,22106584
2,192,32,10,2,2,4,48,3,24733653
2,192,32,10,4,2,4,48,3,18325554
2,192,32,10,6,2,1,48,2,18851049
2,192,32,20,2,1,1,32,1,22238262
2,192,32,20,2,1,2,48,1,22156070
2,192,32,20,6,2,4,48,1,21556042
2,192,32,30,2,2,1,16,2,19568675
2,192,32,30,2,2,2,32,2,19555896
2,192,32,30,2,2,4,16,1,25001252
2,192,32,30,4,1,1,48,2,18128696
2,192,32,30,4,2,2,48,1,20643709
2,192,32,40,2,2,2,32,1,21137863
2,192,32,40,6,1,1,48,1,20356165
2,192,32,40,6,1,1,16,2,16413944
2,192,32,40,6,2,4,16,1,23526076
2,192,32,50,2,2,2,16,2,19443607
2,192,32,50,2,2,2,48,3,19242723
2,192,32,50,4,2,2,32,3,18049276
2,192,32,50,6,1,4,48,3,17299072
2,192,32,60,2,1,2,48,3,19142515
2,192,32,60,2,2,1,32,3,19967408
2,192,32,60,2,2,2,48,3,19142773
2,192,32,60,2,2,4,48,3,19892579
2,192,32,60,4,2,2,48,2,18500603
2,192,32,60,6,2,4,48,3,16348964
2,192,96,0,0,0,0,0,0,42612257
2,192,96,10,2,2,2,48,2,23168697
2,192,96,10,4,1,1,48,2,21101531
2,192,96,10,4,1,2,32,1,23001371
2,192,96,10,4,2,2,48,1,22794483
2,192,96,10,4,2,2,48,2,22038723
2,192,96,10,6,1,4,16,1,25089242
2,192,96,20,2,1,1,32,1,22238413
2,192,96,20,2,1,2,32,2,21106126
2,192,96,20,2,2,1,32,3,20180754
2,192,96,20,2,2,2,48,3,19968215
2,192,96,20,6,1,1,16,3,17087860
2,192,96,30,2,1,4,16,3,20561779
2,192,96,30,2,2,2,16,1,25001664
2,192,96,40,2,1,1,16,1,23964042
2,192,96,40,2,1,2,16,2,19606668
2,192,96,40,2,2,2,32,1,21138514
2,192,96,40,4,1,4,16,3,16999835
2,192,96,40,6,2,1,32,1,20363481
2,192,96,40,6,2,4,48,1,20281414
2,192,96,50,2,1,1,48,3,19205201
2,192,96,50,4,1,1,32,2,18501061
2,192,96,50,4,1,4,16,2,18426132
2,192,96,50,6,1,4,32,3,17299192
2,192,96,60,2,1,1,16,1,23639127
2,192,96,60,2,1,2,32,3,19967548
2,192,96,60,2,2,1,48,1,20794065
2,192,96,60,4,2,1,16,2,18576394
2,32,128,0,0,0,0,0,0,42655262
2,32,128,10,2,1,2,16,2,24113654
2,32,128,20,2,1,1,48,1,22275994
2,32,128,20,2,1,4,32,3,19737584
2,32,128,20,4,2,1,16,3,17957136
2,32,128,20,6,2,4,16,1,23545807
2,32,128,30,2,1,1,16,2,19575747
2,32,128,30,4,2,4,16,1,23358250
2,32,128,30,6,2,2,32,1,21563390
2,32,128,40,2,2,2,32,3,19018532
2,32,128,40,2,2,4,16,2,19650985
2,32,128,40,4,1,2,48,2,18407737
2,32,128,40,6,1,2,16,2,16233336
2,32,128,40,6,1,2,32,3,16274934
2,32,128,50,2,2,4,48,2,19444011
2,32,128,50,4,2,2,16,2,18427101
2,32,128,50,6,1,2,16,3,17262824
2,32,128,50,6,1,2,32,3,17287337
2,32,128,60,4,1,4,48,3,17199097
2,32,128,60,4,2,1,32,2,18576379
2,32,128,60,6,1,2,48,2,16251586
2,32,128,60,6,1,4,32,2,16251285
2,32,32,0,0,0,0,0,0,42659224
2,32,32,10,2,1,1,16,1,25590037
2,32,32,10,2,1,2,16,2,24113911
2,32,32,10,2,1,4,32,2,22594667
2,32,32,10,2,1,4,48,3,24865868
2,32,32,10,4,1,2,32,3,20420323
2,32,32,10,4,2,1,32,1,23201563
2,32,32,10,6,1,2,16,2,20883607
2,32,32,20,6,1,2,48,3,16293691
2,32,32,30,2,2,2,16,1,23883336
2,32,32,30,4,1,1,16,3,18744208
2,32,32,30,4,2,2,16,1,23358230
2,32,32,30,6,1,2,16,2,16326954
2,32,32,30,6,2,1,32,2,16476581
2,32,32,40,2,1,1,48,3,19168431
2,32,32,40,2,2,2,16,3,19019151
2,32,32,40,2,2,4,16,1,23001942
2,32,32,40,2,2,4,48,2,19650321
2,32,32,40,6,1,1,48,1,20757083
2,32,32,40,6,1,4,48,3,16249764
2,32,32,50,2,1,1,16,2,19444877
2,32,32,50,2,1,1,32,3,20293478
2,32,32,50,4,2,2,48,3,17212559
