issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,128,32,40,6,1,4,32,1,41273528
2,128,32,50,2,1,2,48,3,36280253
2,128,32,50,2,1,4,48,1,41391163
2,128,32,50,2,1,4,48,2,41068177
2,128,32,50,2,2,4,16,2,41093654
2,128,32,50,6,2,2,48,1,41277898
2,128,32,60,2,1,2,48,1,41391181
2,128,32,60,2,1,2,32,2,40289018
2,128,32,60,2,2,2,32,2,40289018
2,128,32,60,4,1,2,16,2,40629090
2,128,32,60,4,2,1,16,1,41315372
2,128,32,60,6,1,2,48,3,35944522
2,128,96,0,0,0,0,0,0,42695285
2,128,96,10,6,2,1,16,2,41489279
2,128,96,20,4,1,2,16,2,41299899
2,128,96,20,4,2,1,32,3,39345167
2,128,96,20,6,1,2,48,1,41269419
2,128,96,30,2,1,4,32,3,39815944
2,128,96,30,2,2,1,48,1,41379888
2,128,96,30,2,2,2,48,1,41378942
2,128,96,30,2,2,2,32,3,40292312
2,128,96,30,2,2,4,16,1,41418581
2,128,96,30,2,2,4,16,3,40513687
2,128,96,30,4,1,1,32,3,40358788
2,128,96,30,4,1,4,48,2,40035922
2,128,96,30,6,2,1,16,1,41357020
2,128,96,40,2,1,4,16,1,41418586
2,128,96,40,2,2,4,32,2,39658142
2,128,96,40,6,2,4,48,3,36398118
2,128,96,50,2,1,1,48,3,36469806
2,128,96,50,4,1,1,16,1,41359039
2,128,96,50,4,1,1,48,2,40555216
2,128,96,50,4,2,4,16,3,40380871
2,128,96,50,6,1,1,32,2,40891319
2,128,96,50,6,1,2,16,2,41028133
2,128,96,50,6,2,2,32,2,39974833
2,128,96,60,4,1,4,48,1,41281500
2,128,96,60,4,2,2,16,2,40685101
2,128,96,60,6,2,4,16,2,40534703
2,192,128,0,0,0,0,0,0,42691957
2,192,128,10,2,2,1,32,1,41535663
2,192,128,10,4,1,1,16,2,41584285
2,192,128,10,4,2,2,16,1,41726135
2,192,128,10,6,1,2,16,3,41351960
2,192,128,10,6,2,2,32,1,41425483
2,192,128,10,6,2,4,48,2,40777471
2,192,128,20,2,1,2,48,3,37737598
2,192,128,20,2,2,2,32,2,39946805
2,192,128,20,4,1,2,16,2,41297331
2,192,128,20,4,1,4,48,3,38445121
2,192,128,20,4,2,4,32,1,41291603
2,192,128,20,6,2,4,48,2,39723092
2,192,128,30,2,1,1,32,1,41398494
2,192,128,30,2,2,4,32,1,41415249
2,192,128,30,4,2,2,48,1,41267964
2,192,128,30,6,2,1,32,3,40786209
2,192,128,30,6,2,2,16,1,41303102
2,192,128,30,6,2,2,48,1,41263870
2,192,128,40,4,1,1,16,1,41304865
2,192,128,40,4,1,1,16,3,40684659
2,192,128,40,4,2,2,48,2,40574220
2,192,128,40,6,1,1,32,3,37928656
2,192,128,50,4,1,4,32,1,41304606
2,192,128,50,6,1,4,32,3,39112697
2,192,128,50,6,2,2,32,3,38118851
2,192,128,60,2,1,1,32,3,40497504
2,192,128,60,4,1,2,16,2,40685791
2,192,128,60,4,2,2,48,1,41279889
2,192,32,0,0,0,0,0,0,42702657
2,192,32,10,2,1,2,48,3,40159362
2,192,32,10,2,2,4,32,2,39429123
2,192,32,10,2,2,4,48,3,39653577
2,192,32,10,4,2,4,48,3,39803466
2,192,32,10,6,2,1,48,2,40718750
2,192,32,20,2,1,1,32,1,41468015
2,192,32,20,2,1,2,48,1,41376336
2,192,32,20,6,2,4,48,1,41261647
2,192,32,30,2,2,1,16,2,41006291
2,192,32,30,2,2,2,32,2,38729251
2,192,32,30,2,2,4,16,1,41423166
2,192,32,30,4,1,1,48,2,39405108
2,192,32,30,4,2,2,48,1,41273813
2,192,32,40,2,2,2,32,1,41388214
2,192,32,40,6,1,1,48,1,41270672
2,192,32,40,6,1,1,16,2,40618519
2,192,32,40,6,2,4,16,1,41303734
2,192,32,50,2,2,2,16,2,41197255
2,192,32,50,2,2,2,48,3,36578192
2,192,32,50,4,2,2,32,3,39883387
2,192,32,50,6,1,4,48,3,36120086
2,192,32,60,2,1,2,48,3,36450444
2,192,32,60,2,2,1,32,3,37877044
2,192,32,60,2,2,2,48,3,36206128
2,192,32,60,2,2,4,48,3,35466928
2,192,32,60,4,2,2,48,2,40698495
2,192,32,60,6,2,4,48,3,35539689
2,192,96,0,0,0,0,0,0,42695285
2,192,96,10,2,2,2,48,2,41108414
2,192,96,10,4,1,1,48,2,40569100
2,192,96,10,4,1,2,32,1,41430481
2,192,96,10,4,2,2,48,1,41422335
2,192,96,10,4,2,2,48,2,40937023
