issue,rob,sqlq,rows,alus,mult,ldst,cache,bpc,cycles
2,32,96,60,6,2,2,32,3,65856068
2,64,128,0,0,0,0,0,0,80915670
2,64,128,10,2,1,1,32,1,80911773
2,64,128,10,2,2,1,48,1,80911695
2,64,128,10,2,2,1,32,3,80912467
2,64,128,10,4,2,1,16,3,80912631
2,64,128,10,6,1,2,16,1,80912375
2,64,128,10,6,1,4,48,3,80910983
2,64,128,10,6,2,1,16,1,80912144
2,64,128,20,2,2,4,32,2,80912169
2,64,128,20,4,1,1,16,1,80912307
2,64,128,20,4,1,1,32,3,80912106
2,64,128,20,6,2,2,16,3,72701531
2,64,128,30,2,1,4,32,2,80911740
2,64,128,30,2,2,4,16,3,67224796
2,64,128,30,2,2,4,32,3,67224216
2,64,128,30,4,1,4,48,1,80911366
2,64,128,30,6,1,1,32,1,80911790
2,64,128,40,2,1,2,32,2,80911832
2,64,128,40,2,1,2,32,3,68577429
2,64,128,40,2,1,2,48,3,67224682
2,64,128,40,2,1,4,48,2,80911877
2,64,128,40,2,2,4,16,3,69961291
2,64,128,40,4,1,1,48,2,80909407
2,64,128,40,4,2,2,48,1,80911396
2,64,128,40,4,2,4,16,2,80911729
2,64,128,40,6,2,2,32,3,68577394
2,64,128,50,2,2,4,32,2,80911805
2,64,128,50,4,2,2,32,3,61750263
2,64,128,50,6,1,2,16,2,80912107
2,64,128,50,6,2,2,32,3,61750263
2,64,128,60,2,1,2,48,3,67223401
2,64,128,60,2,2,2,16,1,80912093
2,64,128,60,2,2,4,48,3,67223576
2,64,128,60,4,2,1,16,2,80912168
2,64,128,60,4,2,2,16,2,80912033
2,64,128,60,6,1,4,32,2,80911761
2,64,128,60,6,2,2,32,3,65853297
2,64,32,0,0,0,0,0,0,80918963
2,64,32,10,2,2,2,16,2,80912033
2,64,32,10,6,2,1,16,3,80911926
2,64,32,20,2,2,1,48,2,80911271
2,64,32,20,4,1,1,16,1,80912145
2,64,32,20,4,1,2,16,3,72701193
2,64,32,20,4,1,2,32,3,65857538
2,64,32,30,2,1,2,48,3,67223278
2,64,32,30,2,1,4,48,1,80911450
2,64,32,30,2,2,1,32,3,63119568
2,64,32,30,2,2,4,32,2,80911507
2,64,32,30,2,2,4,32,3,67224149
2,64,32,30,4,2,1,32,1,80911602
2,64,32,30,6,2,1,48,1,80911526
2,64,32,40,2,1,4,48,2,80911459
2,64,32,40,4,1,4,48,3,67225141
2,64,32,40,4,2,2,16,1,80911607
2,64,32,40,6,2,2,32,3,68577084
2,64,32,50,2,2,1,16,2,80911761
