Key_Dataset,Key_Run,Key_Fold,Key_Scheme,Key_Scheme_options,Key_Scheme_version_ID,Date_time,Number_of_training_instances,Number_of_testing_instances,Mean_absolute_error,Root_mean_squared_error,Relative_absolute_error,Root_relative_squared_error,Correlation_coefficient,Number_unclassified,Percent_unclassified,SF_prior_entropy,SF_scheme_entropy,SF_entropy_gain,SF_mean_prior_entropy,SF_mean_scheme_entropy,SF_mean_entropy_gain,Elapsed_Time_training,Elapsed_Time_testing,UserCPU_Time_training,UserCPU_Time_testing,UserCPU_Time_millis_training,UserCPU_Time_millis_testing,Serialized_Model_Size,Serialized_Train_Set_Size,Serialized_Test_Set_Size,Coverage_of_Test_Cases_By_Regions,Size_of_Predicted_Regions,Summary,measureKernelEvaluations,measureCacheHits,measureNumRules
bitcount_sbcci_cycles,3,5,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1250656.6317397815,1780672.1364394724,55.437211905848365,51.01486726957895,0.862085069884019,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,6,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1206380.4222247007,1995506.2236109127,47.452393039210506,47.40821098381221,0.8782686049876803,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.001,0.0,0.015625,0.0,15.625,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,7,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1107964.7016980702,1337084.470704805,54.03251611212654,51.68468639429616,0.8896562067325399,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,8,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1034380.391005662,1899673.2999041283,43.05383256993382,47.30313740895384,0.8968745413434639,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,9,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,1339139.8675984878,2076557.207083092,51.2052029920111,47.195183689400494,0.8836179172560426,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.003,0.0,0.0,0.0,0.0,0.0,5414.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,3,10,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,944.0,104.0,1266541.1967461205,2062210.2038289818,55.323378599056,51.90746652194395,0.8603688022310225,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.0,0.0,0.0,0.0,0.0,5406.0,104145.0,12585.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,1,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1302154.7903159286,2325349.882362014,46.52857407978193,48.96395641346103,0.8839164941432506,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.002,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,2,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1266053.5146697531,1818043.436599716,53.138417508211674,49.629571857110626,0.8715802503292508,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,3,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1236113.9346932808,2015297.1720533012,41.815657313303355,43.3816392517782,0.9017624915161099,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5406.0,104036.0,12694.0,NaN,NaN,?,?,?,?
bitcount_sbcci_cycles,4,4,weka.classifiers.functions.LinearRegression,'-S 0 -R 1.0E-8 -num-decimal-places 4',-3364580862046573747,2.0200430202999998E7,943.0,105.0,1216270.917878892,1769106.2969609264,62.28788678909364,57.153972251929126,0.8227743865294797,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,0.001,0.0,0.0,0.0,0.0,0.0,5414.0,104036.0,12694.0,NaN,NaN,?,?,?,?
